D:\meli_case_solution>python src/models/tunning.py
2025-01-18 22:59:29,032 - __main__ - INFO - Iniciando o tunning
2025-01-18 22:59:29,032 - __main__ - INFO - Lendo a base de treino encodada
2025-01-18 22:59:29,085 - __main__ - INFO - Sucesso! Base de treino lida. Shape: (212047, 19)
2025-01-18 22:59:29,115 - __main__ - INFO - Iniciando o Optuna
[I 2025-01-18 22:59:29,115] A new study created in memory with name: XGBoost Classifier
[I 2025-01-18 22:59:33,053] Trial 0 finished with value: 0.7848251863834349 and parameters: {'learning_rate': 0.002033881681364998, 'max_depth': 5, 'min_child_weight': 0.020728843654523807, 'gamma': 0.46633387787501157, 
'subsample': 0.6058299849941678, 'colsample_bytree': 0.967498803239954, 'scale_pos_weight': 90.1707705575842}. Best is trial 0 with value: 0.7848251863834349.
[I 2025-01-18 22:59:36,793] Trial 1 finished with value: 0.8017854309209846 and parameters: {'learning_rate': 0.0011663874960324435, 'max_depth': 6, 'min_child_weight': 0.004853405822151018, 'gamma': 0.026250752950375617, 'subsample': 0.8424332737435316, 'colsample_bytree': 0.9776900544212168, 'scale_pos_weight': 85.4208185698192}. Best is trial 1 with value: 0.8017854309209846.
[I 2025-01-18 23:00:28,464] Trial 15 finished with value: 0.8222800768342087 and parameters: {'learning_rate': 0.017368604363825438, 'max_depth': 4, 'min_child_weight': 21.50580077743957, 'gamma': 13.154549097464258, 'subsample': 0.8712829429718792, 'colsample_bytree': 0.8050218251047787, 'scale_pos_weight': 85.15926254690969}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:31,050] Trial 16 finished with value: 0.8342342976506913 and parameters: {'learning_rate': 0.057721867915069044, 'max_depth': 3, 'min_child_weight': 86.2767701659774, 'gamma': 1.5685198761178258, 'subsample': 0.7275756794435084, 'colsample_bytree': 0.6658560384529888, 'scale_pos_weight': 97.77110900591688}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:34,234] Trial 17 finished with value: 0.8383247408407843 and parameters: {'learning_rate': 0.022376260085135997, 'max_depth': 6, 'min_child_weight': 12.775717084944732, 'gamma': 28.29742423045375, 'subsample': 0.8988700667852596, 'colsample_bytree': 0.727492370553204, 'scale_pos_weight': 70.80932792286526}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:37,304] Trial 18 finished with value: 0.8429337761488686 and parameters: {'learning_rate': 0.06468887550244472, 'max_depth': 4, 'min_child_weight': 1.4694125455648606, 'gamma': 86.96401440567415, 'subsample': 0.951616837865367, 'colsample_bytree': 0.8547439537766054, 'scale_pos_weight': 86.96284621763573}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:40,102] Trial 19 finished with value: 0.8312272148317982 and parameters: {'learning_rate': 0.04573144142214737, 'max_depth': 3, 'min_child_weight': 16.96048331589514, 'gamma': 13.8770632896765, 'subsample': 0.8048208007861585, 'colsample_bytree': 0.6000116134592899, 'scale_pos_weight': 47.1902760959802}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:43,565] Trial 20 finished with value: 0.8304182595834304 and parameters: {'learning_rate': 0.01236053054105084, 'max_depth': 6, 'min_child_weight': 2.1144009724702246, 'gamma': 3.0785573591600888, 'subsample': 0.8874043014928882, 'colsample_bytree': 0.6987739000781913, 'scale_pos_weight': 89.36482945382934}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:46,937] Trial 21 finished with value: 0.8489568000941052 and parameters: {'learning_rate': 0.09475282135413138, 'max_depth': 4, 'min_child_weight': 31.78280288804491, 'gamma': 31.37440317806007, 'subsample': 0.9954171421131873, 'colsample_bytree': 0.6438187516873911, 'scale_pos_weight': 98.65095193856224}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:49,771] Trial 22 finished with value: 0.8472854356440372 and parameters: {'learning_rate': 0.09873856855626938, 'max_depth': 4, 'min_child_weight': 25.913863527668457, 'gamma': 75.36021408809532, 'subsample': 0.9672109157231286, 'colsample_bytree': 0.6218796559229633, 'scale_pos_weight': 99.21337250354621}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:52,630] Trial 23 finished with value: 0.841896025383831 and parameters: {'learning_rate': 0.06096479619764748, 'max_depth': 4, 'min_child_weight': 98.27163630936766, 'gamma': 20.4536929742381, 'subsample': 0.9212548775870192, 'colsample_bytree': 0.6368420119791514, 'scale_pos_weight': 79.23653079686729}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:56,016] Trial 24 finished with value: 0.8370651312804513 and parameters: {'learning_rate': 0.03420960493165749, 'max_depth': 5, 'min_child_weight': 8.49124615903153, 'gamma': 99.21085181425055, 'subsample': 0.9696094122753428, 'colsample_bytree': 0.6426728867615369, 'scale_pos_weight': 91.20948885064658}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:59,256] Trial 25 finished with value: 0.8428255320043554 and parameters: {'learning_rate': 0.06481688777942665, 'max_depth': 4, 'min_child_weight': 43.171222829257516, 'gamma': 9.532868483987398, 'subsample': 0.9270199243875611, 'colsample_bytree': 0.6922707450993876, 'scale_pos_weight': 89.76828925621459}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:02,067] Trial 26 finished with value: 0.8410849835720395 and parameters: {'learning_rate': 0.09354947029183651, 'max_depth': 3, 'min_child_weight': 8.374532394732606, 'gamma': 4.4099254591190125, 'subsample': 0.9926281008507006, 'colsample_bytree': 0.6298532326657397, 'scale_pos_weight': 80.75546651570751}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:05,459] Trial 27 finished with value: 0.8437347762468811 and parameters: {'learning_rate': 0.04797055373859587, 'max_depth': 5, 'min_child_weight': 42.44463195060653, 'gamma': 26.575273395459742, 'subsample': 0.9432005690784242, 'colsample_bytree': 0.6587266078790477, 'scale_pos_weight': 99.93563903215036}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:08,540] Trial 28 finished with value: 0.8435800093415067 and parameters: {'learning_rate': 0.07007568532054503, 'max_depth': 4, 'min_child_weight': 15.256939096766208, 'gamma': 1.8160571237289553, 'subsample': 0.9658883765156234, 'colsample_bytree': 0.6016494407746559, 'scale_pos_weight': 92.11700613688032}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:12,100] Trial 29 finished with value: 0.8371330742552752 and parameters: {'learning_rate': 0.03259887174530095, 'max_depth': 5, 'min_child_weight': 5.574647778485387, 'gamma': 43.923229672777424, 'subsample': 0.9094934057915994, 'colsample_bytree': 0.6998004561687613, 'scale_pos_weight': 92.6681802410123}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:15,212] Trial 30 finished with value: 0.8462223802634135 and parameters: {'learning_rate': 0.07683192901965885, 'max_depth': 4, 'min_child_weight': 19.60448714514374, 'gamma': 1.1036412855191464, 'subsample': 0.8837855663441789, 'colsample_bytree': 0.7338571007756455, 'scale_pos_weight': 85.33374856128842}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:18,118] Trial 31 finished with value: 0.8484466984169641 and parameters: {'learning_rate': 0.09261075767330812, 'max_depth': 4, 'min_child_weight': 44.012873083254945, 'gamma': 23.4570525198962, 'subsample': 0.998111539613567, 'colsample_bytree': 0.6451438074043616, 'scale_pos_weight': 99.25145909665459}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:21,072] Trial 32 finished with value: 0.8497091322102761 and parameters: {'learning_rate': 0.09814419951035852, 'max_depth': 4, 'min_child_weight': 34.879649455353004, 'gamma': 40.49207596475029, 'subsample': 0.9782687399294911, 'colsample_bytree': 0.6264951340955589, 'scale_pos_weight': 92.90065058901563}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:24,628] Trial 33 finished with value: 0.8392469612459253 and parameters: {'learning_rate': 0.05102946145055821, 'max_depth': 4, 'min_child_weight': 12.315661757722932, 'gamma': 12.652880310110405, 'subsample': 0.9745316532133952, 'colsample_bytree': 0.6779089074937095, 'scale_pos_weight': 90.4225365435834}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:27,961] Trial 34 finished with value: 0.8383726377308875 and parameters: {'learning_rate': 0.07652230245706615, 'max_depth': 3, 'min_child_weight': 56.991475356016316, 'gamma': 44.44630932606199, 'subsample': 0.9381231461186569, 'colsample_bytree': 0.6151667486116574, 'scale_pos_weight': 82.92323663066601}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:31,257] Trial 35 finished with value: 0.8570780063913273 and parameters: {'learning_rate': 0.0994078521381501, 'max_depth': 5, 'min_child_weight': 95.1359768235896, 'gamma': 0.6152393737697945, 'subsample': 0.8558728257396477, 'colsample_bytree': 0.6257661144176536, 'scale_pos_weight': 94.04553924033773}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:34,763] Trial 36 finished with value: 0.8566073481150462 and parameters: {'learning_rate': 0.06969683497155282, 'max_depth': 6, 'min_child_weight': 96.66158002298474, 'gamma': 0.6167763190674785, 'subsample': 0.8500519739299267, 'colsample_bytree': 0.6525901140494328, 'scale_pos_weight': 93.27104646677122}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:38,450] Trial 37 finished with value: 0.8516645224482042 and parameters: {'learning_rate': 0.05548637172077361, 'max_depth': 6, 'min_child_weight': 79.48662169534686, 'gamma': 0.5370502917675348, 'subsample': 0.852227765424176, 'colsample_bytree': 0.6623119983842128, 'scale_pos_weight': 76.74004068178863}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:42,298] Trial 38 finished with value: 0.8454840628639246 and parameters: {'learning_rate': 0.03978549782895279, 'max_depth': 6, 'min_child_weight': 91.58962666703383, 'gamma': 0.5532758561751443, 'subsample': 0.8545718024973411, 'colsample_bytree': 0.7625343014553712, 'scale_pos_weight': 75.80317533883188}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:01:45,927] Trial 39 finished with value: 0.8516680212792173 and parameters: {'learning_rate': 0.05439419358173057, 'max_depth': 6, 'min_child_weight': 24.12199586685048, 'gamma': 0.1684184689869512, 'subsample': 0.8362066684399155, 'colsample_bytree': 0.6591360936496024, 'scale_pos_weight': 83.93616918100275}. Best is trial 5 with value: 0.8604276082415087.
Best trial: 5. Best value: 0.860428: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [02:16<00:00,  3.42s/it] 
2025-01-18 23:01:46,019 - __main__ - INFO - Sucesso! Tunning Finalizado.
